"filename", "language", "Markdown", "Ini", "Swift", "JSON with Comments", "C++", "YAML", "CMake", "XML", "JSON", "Dart", "HTML", "Properties", "comment", "blank", "total"
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\lib\visuals\dialogs\passwordpopup.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 3, 10, 57
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\lib\visuals\dialogs\welcomepopup.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 8, 10, 86
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\lib\visuals\pages\menupage.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 248, 0, 0, 25, 27, 300
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\lib\visuals\pages\splashscreen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 4, 11, 67
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\lib\visuals\smallwidgets\antactionbutton.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 9, 13, 86
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\lib\visuals\smallwidgets\antbodycontrols.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 148, 0, 0, 21, 22, 191
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\lib\visuals\smallwidgets\bottomsheet.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 1, 5, 29
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\lib\visuals\smallwidgets\devicelist.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 0, 0, 7, 11, 91
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\lib\visuals\smallwidgets\devicelistitem.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 3, 5, 25
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\lib\visuals\smallwidgets\dpad.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 231, 0, 0, 21, 30, 282
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\lib\visuals\widgets\antmovingcontrols.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 129, 0, 0, 6, 16, 151
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\lib\visuals\widgets\bluetoothmenu.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 5, 6, 72
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\linux\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 25, 129
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\linux\flutter\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 10, 89
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\linux\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\linux\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\linux\runner\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 6, 27
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\linux\runner\main.cc", "C++", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\linux\runner\my_application.cc", "C++", 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 21, 27, 131
